cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,sm_pfos,LBXMFOS,male,40-59,247,0.008097165991902834,False,,0.8,1.0600000000000003,1.6,2.6,3.6500000000000004,5.340000000000001,6.579999999999996
I,2015_2016,sm_pfos,LBXMFOS,male,60_plus,253,0.007905138339920948,False,,0.6,1.0200000000000002,1.9,3.1,4.5,6.660000000000003,7.679999999999995
I,2015_2016,sm_pfos,LBXMFOS,male,all_ages,964,0.01037344398340249,False,,0.5,0.6,1.0,1.8,3.2,4.8,6.0
J,2017_2018,n_pfoa,LBXNFOA,all,12-19,313,0.0,False,,0.5,0.6,0.7,1.0,1.4,1.9,2.4399999999999977
J,2017_2018,n_pfoa,LBXNFOA,all,20-39,499,0.006012024048096192,False,,0.3,0.4,0.6,1.1,1.6,2.3,2.9099999999999966
J,2017_2018,n_pfoa,LBXNFOA,all,40-59,513,0.001949317738791423,False,,0.4,0.6,0.9,1.3,2.0,3.0,3.8799999999999955
J,2017_2018,n_pfoa,LBXNFOA,all,60_plus,604,0.004966887417218543,False,,0.5,0.7,1.1,1.7,2.4,3.5,4.285000000000002
J,2017_2018,n_pfoa,LBXNFOA,all,all_ages,1929,0.0036288232244686366,False,,0.4,0.5,0.8,1.3,2.0,2.9,3.7
J,2017_2018,n_pfoa,LBXNFOA,female,12-19,149,0.0,False,,0.4,0.5,0.6,0.8,1.2,1.8,2.1599999999999997
J,2017_2018,n_pfoa,LBXNFOA,female,20-39,270,0.003703703703703704,False,,0.3,0.3,0.5,0.8,1.3,1.8099999999999994,2.7
J,2017_2018,n_pfoa,LBXNFOA,female,40-59,258,0.0,False,,0.4,0.5,0.7,1.1,1.675,2.7,3.614999999999998
J,2017_2018,n_pfoa,LBXNFOA,female,60_plus,300,0.0033333333333333335,False,,0.5,0.7,1.0,1.6,2.4,3.3100000000000023,4.105
J,2017_2018,n_pfoa,LBXNFOA,female,all_ages,977,0.0020470829068577278,False,,0.38000000000000045,0.4,0.7,1.1,1.7,2.7,3.6
J,2017_2018,n_pfoa,LBXNFOA,male,12-19,164,0.0,False,,0.6,0.7,0.9,1.2,1.6,2.1,2.6
J,2017_2018,n_pfoa,LBXNFOA,male,20-39,229,0.008733624454148471,False,,0.5,0.7,1.0,1.3,1.9,2.6,3.2599999999999993
J,2017_2018,n_pfoa,LBXNFOA,male,40-59,255,0.00392156862745098,False,,0.6,0.7,1.1,1.5,2.3,3.3,4.0299999999999985
J,2017_2018,n_pfoa,LBXNFOA,male,60_plus,304,0.006578947368421052,False,,0.5,0.7,1.2,1.8,2.525,3.5,4.384999999999997
J,2017_2018,n_pfoa,LBXNFOA,male,all_ages,952,0.005252100840336135,False,,0.5,0.7,1.0,1.4,2.1,3.1,3.8899999999999864
