cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,race_ethnicity,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
I,2015_2016,n_pfoa,LBXNFOA,female,40-59,nh_white,72,25350748.998661,0.0,True,WTSB2YR,0.45626770304442266,0.8079777771730952,1.0,1.3056336966195885,2.3,3.296394083161222,4.159229333469026
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,all,283,34443876.600986004,0.007067137809187279,True,WTSB2YR,0.3,0.6843215047366199,1.3,2.1,2.892685754297954,4.106891054028431,6.74276972963938
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,hispanic,100,3016024.7727549993,0.0,True,WTSB2YR,0.7,0.8,1.1,1.6,2.3,3.6470121668784317,4.886084535858315
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,nh_asian,21,1504672.714996,0.0,True,WTSB2YR,0.40064115583738064,0.5,0.7285810220363529,2.0478607993047104,2.6492516914845314,3.3446750668704373,4.183065662239196
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,nh_black,51,3233426.994988,0.0,True,WTSB2YR,0.6,0.922839198388799,1.4,2.1997405075411436,3.7458316078163585,5.8937366773798905,7.587292093176922
I,2015_2016,n_pfoa,LBXNFOA,female,60_plus,nh_white,101,25328671.523330998,0.009900990099009901,True,WTSB2YR,0.2885770953428787,0.7,1.4,2.1,2.9,4.403675152562361,7.676458000331941
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,all,1029,128933702.808634,0.007774538386783284,True,WTSB2YR,0.3,0.5,0.8,1.3,2.1,3.3,4.1
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,hispanic,338,20623809.956731997,0.0029585798816568047,True,WTSB2YR,0.3,0.4,0.6,0.9,1.5,2.2335040810564073,3.1295761245437634
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,nh_asian,109,7224909.184446001,0.0,True,WTSB2YR,0.33525403157730416,0.6,0.908560274768879,1.5568550535359027,2.3,3.080930680266306,3.8621302803434996
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,nh_black,245,15703308.56785,0.02040816326530612,True,WTSB2YR,0.2,0.3,0.6748226105266973,1.1,1.9,3.1500077553580916,4.2
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,nh_white,297,79926137.10355,0.003367003367003367,True,WTSB2YR,0.4,0.5,0.9,1.4,2.4,3.4,4.5574995954416595
I,2015_2016,n_pfoa,LBXNFOA,female,all_ages,other,40,5455537.996056,0.025,True,WTSB2YR,0.4,0.5764485499699792,0.8022618840674147,1.4135138623338754,1.7088086189357814,2.8884426690160554,3.519499295641778
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,all,194,15501492.697254,0.005154639175257732,True,WTSB2YR,0.7,0.8,1.0,1.3,1.7,2.0,2.620148642250404
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,hispanic,68,3677142.603667,0.0,True,WTSB2YR,0.6,0.6775914809276228,0.9,1.0,1.4,1.7,1.861989815703445
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,nh_asian,20,702997.331655,0.0,True,WTSB2YR,0.9014327259855216,1.2,1.5192694906192246,1.9451314895228593,3.16365089118526,6.486215521316996,12.092344560795231
I,2015_2016,n_pfoa,LBXNFOA,male,12-19,nh_black,38,1793759.0223919998,0.0,True,WTSB2YR,0.4951819882217597,0.6336407413651627,0.8276441188012874,1.1580901940294692,1.4982495394739057,1.7,2.5922789853468378
