cycle,cycle_dir,analyte_id,analyte_column,sex,age_group,n_unweighted,n_weighted,pct_below_lod,weighted,weight_column,p5,p10,p25,p50,p75,p90,p95
J,2017_2018,n_pfoa,LBXNFOA,female,12-19,149,13672575.768884998,0.0,True,WTSB2YR,0.4,0.5,0.7,1.0,1.4,2.0,2.4002048015181034
J,2017_2018,n_pfoa,LBXNFOA,female,20-39,270,41429468.845167994,0.003703703703703704,True,WTSB2YR,0.3,0.4,0.6,0.8,1.4,2.0,2.4964597604960437
J,2017_2018,n_pfoa,LBXNFOA,female,40-59,258,40225380.206749,0.0,True,WTSB2YR,0.4,0.5,0.7,1.2,1.9,3.29698167225294,4.812339956953743
J,2017_2018,n_pfoa,LBXNFOA,female,60_plus,300,36555825.911218,0.0033333333333333335,True,WTSB2YR,0.4,0.7,1.1,1.7,2.4,3.354868446429016,4.3
J,2017_2018,n_pfoa,LBXNFOA,female,all_ages,977,131883250.73201999,0.0020470829068577278,True,WTSB2YR,0.4,0.5,0.7,1.2,1.9,2.8370401202682505,3.7
J,2017_2018,n_pfoa,LBXNFOA,male,12-19,164,15296613.12249,0.0,True,WTSB2YR,0.6,0.7,0.9,1.1,1.6,2.0295443316084074,2.3806615701008864
J,2017_2018,n_pfoa,LBXNFOA,male,20-39,229,40232151.93553001,0.008733624454148471,True,WTSB2YR,0.6,0.7,1.1,1.4,2.0,2.462476152646356,3.164744257656363
J,2017_2018,n_pfoa,LBXNFOA,male,40-59,255,38986369.558975,0.00392156862745098,True,WTSB2YR,0.7,0.9,1.1,1.5,2.2,3.4,4.073327053971589
J,2017_2018,n_pfoa,LBXNFOA,male,60_plus,304,28714474.078939997,0.006578947368421052,True,WTSB2YR,0.4,0.8,1.4,1.9,2.7,3.6526002940495306,4.4462614709307635
J,2017_2018,n_pfoa,LBXNFOA,male,all_ages,952,123229608.695935,0.005252100840336135,True,WTSB2YR,0.6,0.8,1.1,1.5,2.1,3.0,3.7
J,2017_2018,n_pfos,LBXNFOS,all,12-19,313,28969188.891374998,0.0,True,WTSB2YR,0.8,0.9,1.2,1.8581052147400934,2.8,4.05854921278027,5.825821742553435
J,2017_2018,n_pfos,LBXNFOS,all,20-39,499,81661620.780698,0.004008016032064128,True,WTSB2YR,0.7,0.9,1.6,2.4328498249120405,3.869641291764294,5.9,6.798748016168918
J,2017_2018,n_pfos,LBXNFOS,all,40-59,513,79211749.76572399,0.001949317738791423,True,WTSB2YR,0.9,1.1,1.9,3.2,5.2,7.983257156792906,10.912343607463535
J,2017_2018,n_pfos,LBXNFOS,all,60_plus,604,65270299.990158,0.004966887417218543,True,WTSB2YR,0.9199323955197737,1.7,2.9,4.6,7.3,11.265246473440019,14.762457002150958
J,2017_2018,n_pfos,LBXNFOS,all,all_ages,1929,255112859.42795503,0.003110419906687403,True,WTSB2YR,0.8,1.1,1.7,3.0,5.1,7.8,10.4
J,2017_2018,n_pfos,LBXNFOS,female,12-19,149,13672575.768884998,0.0,True,WTSB2YR,0.7,0.8,1.1,1.6,2.3,3.5,5.371622605127325
J,2017_2018,n_pfos,LBXNFOS,female,20-39,270,41429468.845167994,0.003703703703703704,True,WTSB2YR,0.6,0.8,1.2,1.9,3.0,4.0,5.451118263070403
J,2017_2018,n_pfos,LBXNFOS,female,40-59,258,40225380.206749,0.0,True,WTSB2YR,0.8,0.9,1.5,2.3,4.330862963160661,6.0,9.520458357038974
J,2017_2018,n_pfos,LBXNFOS,female,60_plus,300,36555825.911218,0.0033333333333333335,True,WTSB2YR,0.9706478654443342,1.5,2.2,3.699177339955322,6.116102185027413,9.727239366624948,12.26317170102411
J,2017_2018,n_pfos,LBXNFOS,female,all_ages,977,131883250.73201999,0.0020470829068577278,True,WTSB2YR,0.7,0.9,1.4,2.3,3.9,6.5,9.356622855988512
J,2017_2018,n_pfos,LBXNFOS,male,12-19,164,15296613.12249,0.0,True,WTSB2YR,0.9,1.1,1.5,2.1,3.0963551106506797,4.466353809979462,6.034970573938696
J,2017_2018,n_pfos,LBXNFOS,male,20-39,229,40232151.93553001,0.004366812227074236,True,WTSB2YR,1.2,1.5,2.2,3.3,4.879926281437372,6.184033635060764,7.23587011362309
J,2017_2018,n_pfos,LBXNFOS,male,40-59,255,38986369.558975,0.00392156862745098,True,WTSB2YR,1.3,1.7,2.7,3.9,6.0,8.1,11.195455185693175
J,2017_2018,n_pfos,LBXNFOS,male,60_plus,304,28714474.078939997,0.006578947368421052,True,WTSB2YR,1.0823627438183299,2.2,3.7227473841500376,6.1,9.289472803250545,13.2,16.281188664264118
J,2017_2018,n_pfos,LBXNFOS,male,all_ages,952,123229608.695935,0.004201680672268907,True,WTSB2YR,1.2,1.5,2.3,3.7,5.9,9.1,11.3
J,2017_2018,sb_pfoa,LBXBFOA,all,12-19,313,28969188.891374998,0.865814696485623,True,WTSB2YR,0.07,0.07,0.07,0.07,0.07,0.1,0.2
